OBJECTID,CasosConfirmados2603
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,3
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,10
33,
34,
35,21
36,18
37,
38,
39,
40,3
41,
42,
43,
44,
45,
46,
47,35
48,
49,3
50,
51,
52,
53,3
54,
55,31
56,
57,6
58,
59,
60,8
61,
62,
63,
64,
65,
66,
67,46
68,
69,
70,
71,15
72,
73,6
74,
75,
76,
77,
78,
79,
80,
81,98
82,19
83,
84,
85,
86,3
87,
88,4
89,
90,
91,4
92,44
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,3
104,
105,87
106,4
107,
108,4
109,
110,
111,
112,
113,
114,13
115,5
116,6
117,
118,8
119,5
120,25
121,24
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,114
135,
136,6
137,
138,41
139,
140,10
141,
142,4
143,
144,7
145,284
146,8
147,28
148,
149,
150,33
151,
152,
153,8
154,157
155,
156,
157,6
158,6
159,
160,81
161,
162,
163,
164,
165,
166,
167,
168,
169,5
170,
171,
172,5
173,
174,
175,
176,
177,
178,
179,4
180,4
181,
182,
183,
184,
185,
186,
187,
188,3
189,
190,
191,
192,18
193,17
194,
195,
196,26
197,
198,6
199,
200,3
201,
202,119
203,19
204,
205,
206,16
207,
208,
209,
210,11
211,
212,
213,
214,
215,
216,
217,
218,12
219,
220,5
221,
222,
223,
224,16
225,259
226,
227,4
228,13
229,
230,
231,
232,3
233,
234,
235,
236,
237,
238,
239,45
240,
241,9
242,
243,13
244,
245,3
246,
247,
248,
249,
250,
251,29
252,
253,
254,
255,4
256,9
257,
258,5
259,
260,8
261,
262,7
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,8
276,3
277,3
278,
279,100
280,
281,
282,
283,19
284,
285,
286,
287,
288,12
289,
290,6
291,
292,
293,44
294,
295,163
296,
297,
298,
299,8
300,3
301,
302,
303,
304,
305,
306,20
307,
308,
309,20
310,
311,3
312,7
313,6
314,5
